lemma	example	translation
promišljanje	Odluka je plod dugog *promišljanja*.	Решение — плод долгого *осмысления*.
poimanje	Njegovo *poimanje* pravde je staromodno.	Его *понимание* справедливости старомодно.
spoznaja	Do te *spoznaje* došao je kasno.	К этому *познанию* он пришёл поздно.
naslućivanje	Ovo je više *naslućivanje* nego zaključak.	Это скорее *догадка*, чем вывод.
dvosmislenost	*Dvosmislenost* ugovora je izazvala spor.	*Двусмысленность* договора вызвала спор.
nijansa	Razlika je u jednoj *nijansi* značenja.	Разница в одном *нюансе* значения.
suptilnost	*Suptilnost* njegovog stila teško se prevodi.	*Тонкость* его стиля трудно переводится.
predubeđenje	Sudili su o njemu po *predubeđenju*.	О нём судили по *предубеждению*.
zdravorazumski	Ponudio je *zdravorazumsko* rešenje.	Он предложил *здравое* решение.
proniknuti	Retko ko je *proniknuo* u suštinu spora.	Мало кто *проник* в суть спора.
poistovetiti	Ne treba *poistovetiti* autora i junaka.	Не следует *отождествлять* автора и героя.
razlučiti	Teško je *razlučiti* uzrok od posledice.	Трудно *различить* причину и следствие.
besednik	*Besednik* je držao pažnju cele sale.	*Оратор* держал внимание всего зала.
govorništvo	*Govorništvo* se nekada učilo u školi.	*Риторику* когда-то учили в школе.
izraz	Taj *izraz* se danas retko čuje.	Это *выражение* сегодня редко услышишь.
obrt	U tekstu ima nekoliko lepih *obrta*.	В тексте несколько красивых *оборотов*.
poslovica	Stara *poslovica* kaže da tišina vredi zlata.	Старая *пословица* гласит, что молчание — золото.
izreka	Ta *izreka* potiče iz narodnog govora.	Это *изречение* происходит из народной речи.
dosetka	Njegova *dosetka* je nasmejala celu salu.	Его *острота* рассмешила весь зал.
podsmeh	U njegovom tonu se osećao *podsmeh*.	В его тоне чувствовалась *насмешка*.
uzdržanost	*Uzdržanost* mu nije bila slabost, nego izbor.	*Сдержанность* была для него не слабостью, а выбором.
otvorenost	Cenim njegovu *otvorenost* u razgovoru.	Я ценю его *открытость* в разговоре.
dvoumiti	Dugo se *dvoumio* pre nego što je pristao.	Он долго *колебался*, прежде чем согласиться.
nadovezati	*Nadovezao* se na prethodni argument.	Он *продолжил* предыдущий довод.
pripovedanje	*Pripovedanje* teče mirno i bez žurbe.	*Повествование* течёт спокойно и без спешки.
pripovedač	*Pripovedač* se obraća čitaocu direktno.	*Рассказчик* обращается к читателю напрямую.
zaplet	*Zaplet* se razvija tek u drugom poglavlju.	*Завязка* разворачивается лишь во второй главе.
rasplet	*Rasplet* je iznenadio i najpažljivijeg čitaoca.	*Развязка* удивила и самого внимательного читателя.
lik	Glavni *lik* se menja kroz ceo roman.	Главный *персонаж* меняется на протяжении романа.
motiv	*Motiv* puta ponavlja se u svim pričama.	*Мотив* дороги повторяется во всех рассказах.
poređenje	Pesnik gradi strofu na jednom *poređenju*.	Поэт строит строфу на одном *сравнении*.
stih	Poslednji *stih* menja smisao cele pesme.	Последний *стих* меняет смысл всего стихотворения.
strofa	Svaka *strofa* ima po četiri reda.	В каждой *строфе* по четыре строки.
rima	*Rima* je ovde namerno nepravilna.	*Рифма* здесь намеренно неправильная.
proza	Njegova *proza* je jednostavna i tačna.	Его *проза* проста и точна.
esej	Napisao je kratak *esej* o jeziku.	Он написал короткое *эссе* о языке.
tumačiti	Tekst se može *tumačiti* na dva načina.	Текст можно *толковать* двояко.
oslikati	Autor je *oslikao* celu epohu u jednom liku.	Автор *обрисовал* целую эпоху в одном персонаже.
