level	title	summary
A1	Алфавиты сербского языка	Азбука (ћирилица) и латиница, правила чтения и фонетические особенности.
A1	Глагол бити (быть)	Полные и краткие формы в настоящем времени (јесам / сам), отрицание (нисам).
A1	Глагол хтети (хотеть) и будущие намерения	Настоящее время (хоћу / ћеш).
A1	Спряжение глаголов в Present (Настоящее время)	Три основные группы (-ам, -им, -ем).
A1	Род и число существительных	Мужской, женский и средний род; базовые правила образования множественного числа.
A1	Притяжательные и указательные местоимения	Мој, твој, наш; овај, тај, онај.
A1	Номинатив (именительный падеж)	Подлежащее в предложении, базовые формы имен.
A1	Аккузатив (винительный падеж) без предлогов	Прямое дополнение (неодушевленные и одушевленные существительные мужского рода).
A1	Локатив (предложный падеж) с предлогами у и на	Обозначение места (у граду, на столу).
A1	Генитив (родительный падеж) с предлогами из/изван/близу/од	Обозначение происхождения, принадлежности и отсутствия.
A1	Порядок слов в предложении	Позиция кратких форм глаголов и местоимений (энклитик) — правило второго места.
A1	Перфект (Прошло време / Перфекат)	Образование прошедшего времени с помощью бити + L-причастие (учио сам / учила сам).
A1	Конструкция да + Present	Замена инфинитива в сербском языке (Желим да учим).
A1	Вопросительные предложения и частицы	Конструкции с Да ли...? и предложение с помощью частицы ли.
A1	Количественные числительные (1–100)	Согласование чисел 1, 2, 3, 4 с существительными.
A2	Датив (дательный падеж)	Дательный падеж направления (идти к кому-то) и адресата (дати некоме).
A2	Инструментал (творительный падеж)	Творительный падеж компании (са пријатељем) и орудия действия (аутобусом).
A2	Вокатив (звательный падеж)	Формы обращения к людям и особенности их образования.
A2	Падежная система прилагательных	Склонение прилагательных по родам и падежам в единственном и множественном числе.
A2	Футур I (Футур први)	Образование будущего времени (радићу / ћеш радити) и формы с инфинитивом.
A2	Вид глагола (Свршени и несвршени глаголи)	Видовые пары (совершенный и несовершенный вид) и их употребление.
A2	Генитив множественного числа	Особенности окончаний (-а, -и) и беглое А (града, сати, девојака).
A2	Личные местоимения во всех падежах	Полные и краткие (энклитические) формы (мене/ме, теби/ти).
A2	Степени сравнения прилагательных	Сравнительная (компаратив) и превосходная (суперлатив) степени.
A2	Модальные глаголы	Употребление моћи, морати, смети, требати с конструкцией да + Present.
A2	Возвратные глаголы и частица се	Настоящие возвратные, взаимные и безличные глаголы.
A2	Порядковые числительные и даты	Образование и склонение порядковых числительных.
A2	Предлоги движения и места	Разница использования падежей при вопросах Куда? (Аккузатив) и Где? (Локатив).
A2	Повелительное наклонение (Императив)	Образование форм приказов и просьб (ради, радите, немој да...).
A2	Конструкция треба да / требало би	Выражение долга и необходимости.
B1	Порядок энклитик в предложении	Жесткая иерархия следования кратких форм местоимений и глаголов (Дао сам му је).
B1	Потенцијал (Сослагательное наклонение)	Условие и желание с помощью частицы би (ја бих радио, ти би радио...).
B1	Условные предложения (I и II тип)	Реальное условие (Ако...) и потенциальное условие (Кад би...).
B1	Футур II (Футур други)	Будущее предшествующее время в придаточных предложениях условий и времени (Ако будем имао...).
B1	Глагольный причастие настоящего времени (Глаголски прилог садашњи)	Деепричастие на -ћи (радећи, чинећи).
B1	Глагольный причастие прошедшего времени (Глаголски прилог прошли)	Деепричастие на -вши (урадивши, рекавши).
B1	Пассивный залог (Пасив)	Страдательный залог с причастием (-н/-т) и с помощью частицы се.
B1	Относительные местоимения	Склонение и употребление местоимений који, која, које в придаточных предложениях.
B1	Неопределенные и отрицательные местоимения	Образование с приставками не-, ни-, и- (неко, нико, ико) и их падежные формы.
B1	Отрицательные местоимения с предлогами	Особенность вставки предлога внутрь слова (ни са ким, ни о чему).
B1	Собирательные существительные и числительные	Использование слов браћа, деца, господа и числительных двоје, троје, двојица.
B1	Чередования звуков (Гласовне промене)	Палатализация, сибиляризация, гортанные согласные, беглое А, переход Л в О.
B1	Управление предлогов (Падежная семантика)	Сложные случаи предложно-падежного управления (напр. осим, упркос, путем).
B1	Косвенная речь (Индиректни говор)	Правила перевода прямой речи в косвенную и согласование времен/местоимений.
B1	Безличные предложения	Конструкции типа Хладно ми је, Свиђа ми се, Говори се.
B2	Аорист (Аорист)	Образование и стилистическое употребление мгновенного прошедшего времени в речи и литературе.
B2	Имперфект (Имперфекат)	Образование и контексты использования длительного прошедшего времени (архаичный/литературный пласт).
B2	Плюссквамперфект (Плусквамперфекат)	Давнопрошедшее время (био сам урадио) и его функция в контексте ретроспективы.
B2	Условные предложения (III тип)	Нереальное условие в прошлом (Да сам знао, дошао бих).
