lemma	example	translation
suština	*Suština* problema je u novcu.	*Суть* проблемы в деньгах.
svojstvo	Ovo *svojstvo* materijala je ključno.	Это *свойство* материала — ключевое.
odlika	Strpljenje mu je glavna *odlika*.	Терпение — его главная *особенность*.
okolnost	Odluka zavisi od svake *okolnosti*.	Решение зависит от каждого *обстоятельства*.
uslov	Prihvatili smo pod jednim *uslovom*.	Мы согласились при одном *условии*.
mogućnost	Postoji *mogućnost* da se predomisli.	Есть *возможность*, что он передумает.
verovatnoća	*Verovatnoća* greške je mala.	*Вероятность* ошибки мала.
namera	Njegova *namera* je bila dobra.	Его *намерение* было добрым.
pristup	Potreban je drugačiji *pristup*.	Нужен другой *подход*.
srazmera	*Srazmera* prihoda i troškova se pogoršala.	*Соотношение* доходов и расходов ухудшилось.
obim	*Obim* posla je veći nego lane.	*Объём* работы больше, чем в прошлом году.
odnos	*Odnos* među kolegama je zategnut.	*Отношения* между коллегами напряжённые.
razmera	Šteta je poprimila velike *razmere*.	Ущерб принял большие *масштабы*.
nedostatak	Jedini *nedostatak* je cena.	Единственный *недостаток* — цена.
prednost	Iskustvo mu daje *prednost*.	Опыт даёт ему *преимущество*.
protivrečnost	U njegovoj priči ima *protivrečnosti*.	В его рассказе есть *противоречия*.
razmišljanje	Posle dugog *razmišljanja* je pristao.	После долгого *размышления* он согласился.
rasuđivanje	Njegovo *rasuđivanje* je bilo trezveno.	Его *суждение* было трезвым.
predrasuda	To je čista *predrasuda*, a ne činjenica.	Это чистый *предрассудок*, а не факт.
uverenje	Ostao je pri svom *uverenju*.	Он остался при своём *убеждении*.
stanovište	Sa pravnog *stanovišta* sve je u redu.	С правовой *точки зрения* всё в порядке.
tumačenje	Moguće je i drugačije *tumačenje*.	Возможно и другое *толкование*.
procena	*Procena* štete još nije gotova.	*Оценка* ущерба ещё не готова.
svrsishodnost	Dovodim u pitanje *svrsishodnost* te mere.	Я ставлю под сомнение *целесообразность* этой меры.
obrazloženje	Odluka je stigla bez *obrazloženja*.	Решение пришло без *обоснования*.
protumačiti	Njegovo ćutanje su *protumačili* kao pristanak.	Его молчание *истолковали* как согласие.
proceniti	Teško je *proceniti* pravu vrednost.	Трудно *оценить* настоящую стоимость.
obrazložiti	Molim vas da *obrazložite* svoj stav.	Прошу вас *обосновать* свою позицию.
preispitati	Vreme je da *preispitamo* stare navike.	Пора *пересмотреть* старые привычки.
uočiti	*Uočio* sam sitnu, ali važnu razliku.	Я *подметил* мелкое, но важное различие.
sagledati	Treba *sagledati* problem u celini.	Нужно *охватить* проблему целиком.
izlaganje	Njegovo *izlaganje* je trajalo pola sata.	Его *изложение* длилось полчаса.
obraćanje	*Obraćanje* javnosti je zakazano za podne.	*Обращение* к общественности назначено на полдень.
nagoveštaj	U pismu je bio jasan *nagoveštaj*.	В письме был ясный *намёк*.
ironija	U njegovom glasu se osećala *ironija*.	В его голосе чувствовалась *ирония*.
šala	To je bila samo bezazlena *šala*.	Это была лишь безобидная *шутка*.
prekor	U njenom pogledu je bio *prekor*.	В её взгляде был *упрёк*.
pohvala	*Pohvala* je stigla od samog direktora.	*Похвала* пришла от самого директора.
kritika	*Kritika* je bila oštra, ali tačna.	*Критика* была резкой, но верной.
argument	Njegov *argument* je bio ubedljiv.	Его *довод* был убедительным.
