lemma	example	translation
porodica	Naša *porodica* živi u Beogradu.	Наша *семья* живёт в Белграде.
majka	*Majka* mi svaki dan kuva ručak.	*Мать* каждый день готовит мне обед.
otac	Moj *otac* radi u fabrici.	Мой *отец* работает на заводе.
sin	Njihov *sin* ide u školu.	Их *сын* ходит в школу.
ćerka	Naša *ćerka* ima pet godina.	Нашей *дочери* пять лет.
brat	Moj *brat* studira u Novom Sadu.	Мой *брат* учится в Нови-Саде.
sestra	*Sestra* je dve godine starija od mene.	*Сестра* на два года старше меня.
baba	*Baba* nedeljom peče kolače.	*Бабушка* по воскресеньям печёт пироги.
deda	*Deda* svako jutro čita novine.	*Дедушка* каждое утро читает газету.
dete	*Dete* spava u susednoj sobi.	*Ребёнок* спит в соседней комнате.
roditelj	Svaki *roditelj* brine za svoje dete.	Каждый *родитель* беспокоится о своём ребёнке.
muž	Njen *muž* je lekar.	Её *муж* — врач.
supruga	Moja *supruga* voli da putuje.	Моя *жена* любит путешествовать.
stric	*Stric* nam sutra dolazi u goste.	*Дядя* завтра приезжает к нам в гости.
ujak	*Ujak* živi u Nišu već deset godina.	*Дядя* живёт в Нише уже десять лет.
tetka	*Tetka* radi u bolnici.	*Тётя* работает в больнице.
unuk	Baba čuva *unuka* svakog vikenda.	Бабушка сидит с *внуком* каждые выходные.
rođak	Na svadbi je bio svaki *rođak*.	На свадьбе был каждый *родственник*.
komšija	Naš *komšija* ima velikog psa.	У нашего *соседа* большая собака.
prijatelj	Čekam *prijatelja* ispred bioskopa.	Жду *друга* перед кинотеатром.
kuća	Njihova *kuća* ima veliko dvorište.	У их *дома* большой двор.
stan	Iznajmili smo *stan* blizu centra.	Мы сняли *квартиру* рядом с центром.
soba	Moja *soba* gleda na park.	Моя *комната* выходит на парк.
kuhinja	U *kuhinji* uvek nešto lepo miriše.	На *кухне* всегда чем-то вкусно пахнет.
kupatilo	*Kupatilo* je odmah pored spavaće sobe.	*Ванная* сразу рядом со спальней.
vrata	Zatvori *vrata*, molim te.	Закрой *дверь*, пожалуйста.
prozor	Otvori *prozor*, vruće je.	Открой *окно*, жарко.
sto	Knjige su na *stolu*.	Книги на *столе*.
stolica	Sedi na tu *stolicu*.	Садись на этот *стул*.
krevet	Dete je već u *krevetu*.	Ребёнок уже в *кровати*.
orman	Košulje su u *ormanu*.	Рубашки в *шкафу*.
zid	Na *zidu* visi stara slika.	На *стене* висит старая картина.
pod	*Pod* je hladan, obuj papuče.	*Пол* холодный, надень тапочки.
krov	Kiša pada na *krov*.	Дождь стучит по *крыше*.
sprat	Stanujemo na trećem *spratu*.	Мы живём на третьем *этаже*.
dvorište	Deca se igraju u *dvorištu*.	Дети играют во *дворе*.
ključ	Zaboravio sam *ključ* kod kuće.	Я забыл *ключ* дома.
ogledalo	Pogledaj se u *ogledalo*.	Посмотри на себя в *зеркало*.
sijalica	Pregorela je *sijalica* u hodniku.	В коридоре перегорела *лампочка*.
stepenice	Popeli smo se uz *stepenice*.	Мы поднялись по *лестнице*.
hrana	*Hrana* u ovom restoranu je odlična.	*Еда* в этом ресторане отличная.
hleb	Kupi *hleb* na putu kući.	Купи *хлеб* по дороге домой.
voda	Popij malo *vode*.	Выпей немного *воды*.
mleko	Deca svako jutro piju *mleko*.	Дети каждое утро пьют *молоко*.
meso	Ne jedem *meso* već tri godine.	Я не ем *мясо* уже три года.
sir	Na stolu je hleb i *sir*.	На столе хлеб и *сыр*.
jaje	Za doručak sam pojeo *jaje*.	На завтрак я съел *яйцо*.
voće	Kupujem *voće* na pijaci.	Я покупаю *фрукты* на рынке.
povrće	Supa je puna svežeg *povrća*.	Суп полон свежих *овощей*.
jabuka	Ova *jabuka* je vrlo slatka.	Это *яблоко* очень сладкое.
krompir	*Krompir* se kuva dvadeset minuta.	*Картофель* варится двадцать минут.
paradajz	U salati je samo *paradajz*.	В салате только *помидор*.
so	Dodaj još malo *soli*.	Добавь ещё немного *соли*.
šećer	Pijem kafu bez *šećera*.	Я пью кофе без *сахара*.
kafa	Ujutru uvek pijem *kafu*.	Утром я всегда пью *кофе*.
čaj	Skuvala je *čaj* od nane.	Она заварила *чай* с мятой.
sok	Deca vole *sok* od jabuke.	Дети любят яблочный *сок*.
vino	Uz večeru smo pili crno *vino*.	К ужину мы пили красное *вино*.
pivo	Poručio je hladno *pivo*.	Он заказал холодное *пиво*.
supa	*Supa* je još vruća.	*Суп* ещё горячий.
doručak	*Doručak* je najvažniji obrok.	*Завтрак* — самый важный приём пищи.
ručak	*Ručak* je u dva sata.	*Обед* в два часа.
večera	Za *večeru* imamo ribu.	На *ужин* у нас рыба.
kašika	Daj mi *kašiku* za supu.	Дай мне *ложку* для супа.
viljuška	*Viljuška* je pala na pod.	*Вилка* упала на пол.
nož	Ovaj *nož* nije oštar.	Этот *нож* не острый.
tanjir	Stavi *tanjir* na sto.	Поставь *тарелку* на стол.
čaša	Nalij vodu u *čašu*.	Налей воду в *стакан*.
nula	Temperatura je pala na *nulu*.	Температура упала до *нуля*.
jedan	Ostao mi je samo *jedan* dinar.	У меня остался только *один* динар.
dva	Imam *dva* brata.	У меня *два* брата.
tri	Čekam te već *tri* sata.	Я жду тебя уже *три* часа.
četiri	Sto ima *četiri* noge.	У стола *четыре* ножки.
pet	Autobus dolazi za *pet* minuta.	Автобус придёт через *пять* минут.
šest	Ustajem u *šest* ujutru.	Я встаю в *шесть* утра.
sedam	U nedelji ima *sedam* dana.	В неделе *семь* дней.
osam	Radim *osam* sati dnevno.	Я работаю *восемь* часов в день.
devet	Prodavnica se zatvara u *devet*.	Магазин закрывается в *девять*.
deset	Do centra ima *deset* minuta hoda.	До центра *десять* минут пешком.
jedanaest	Voz polazi u *jedanaest*.	Поезд отправляется в *одиннадцать*.
dvadeset	Karta košta *dvadeset* dinara.	Билет стоит *двадцать* динаров.
trideset	U razredu ima *trideset* učenika.	В классе *тридцать* учеников.
stotina	Na trgu je bilo *stotinu* ljudi.	На площади была *сотня* людей.
hiljada	Knjiga košta *hiljadu* dinara.	Книга стоит *тысячу* динаров.
prvi	Ovo je moj *prvi* dan na poslu.	Это мой *первый* день на работе.
drugi	Sedimo u *drugom* redu.	Мы сидим во *втором* ряду.
treći	Stan je na *trećem* spratu.	Квартира на *третьем* этаже.
broj	Zapiši moj *broj* telefona.	Запиши мой *номер* телефона.
boja	Koja ti je omiljena *boja*?	Какой твой любимый *цвет*?
crven	Kupila je *crvenu* haljinu.	Она купила *красное* платье.
plav	Nebo je danas potpuno *plavo*.	Небо сегодня совершенно *синее*.
zelen	Trava je posle kiše *zelena*.	Трава после дождя *зелёная*.
žut	Na stolu stoji *žut* cvet.	На столе стоит *жёлтый* цветок.
crn	Nosi *crn* kaput.	Он носит *чёрное* пальто.
beo	Sneg je *beo* i čist.	Снег *белый* и чистый.
siv	Nebo je *sivo* od jutros.	Небо *серое* с самого утра.
